,BlackElo,ECO,Event,Opening,Result,Termination,TimeControl,WhiteElo,BlackTitle,WhiteTitle,Move_ply_200,Category,Opening_new,freq,ELO Diff,Ave ELO
3,2404,B06,Rated Bullet game,Modern Defense,0-1,Normal,60+0,2324,,FM,,Bullet,Modern Defense,3666,-80,2364.0
66,2032,A51,Rated Bullet game,Budapest Defense: Fajarowicz Variation,1-0,Normal,60+0,2023,,,,Bullet,Budapest Defense,335,-9,2027.5
68,1721,C21,Rated Bullet game,Center Game: Halasz-McDonnell Gambit,0-1,Normal,60+0,1768,,,,Bullet,Center Game,1393,47,1744.5
71,1889,A41,Rated Bullet tournament https://lichess.org/tournament/Rh8xK5i3,"Rat Defense: English Rat, Lisbon Gambit",0-1,Time forfeit,60+0,1753,,,,Bullet,Rat Defense,755,-136,1821.0
89,2039,C12,Rated Bullet game,French Defense: MacCutcheon Variation,0-1,Normal,60+0,1973,,,,Bullet,French Defense,13036,-66,2006.0
120,1895,A40,Rated Bullet game,Modern Defense,0-1,Normal,120+1,1981,,,,Bullet,Modern Defense,3666,86,1938.0
127,1700,B90,Rated Bullet game,Sicilian Defense: Najdorf Variation,1-0,Normal,60+0,1796,,,,Bullet,Sicilian Defense,27238,96,1748.0
142,2189,A00,Rated Bullet tournament https://lichess.org/tournament/WlwPXAfI,Ware Opening,0-1,Time forfeit,60+0,2381,,IM,,Bullet,Ware Defense,185,192,2285.0
145,2219,C55,Rated Bullet game,"Italian Game: Two Knights Defense, Modern Bishop's Opening",1-0,Time forfeit,120+1,2241,,,,Bullet,Italian Game,8617,22,2230.0
159,1933,A40,Rated Bullet game,Horwitz Defense,1-0,Normal,60+0,1820,,,,Bullet,Horwitz Defense,2191,-113,1876.5
168,1931,B01,Rated Bullet game,Scandinavian Defense: Mieses-Kotroc Variation,0-1,Normal,60+0,1848,,,,Bullet,Scandinavian Defense,7890,-83,1889.5
197,1735,B19,Rated Bullet tournament https://lichess.org/tournament/vdvWuobL,"Caro-Kann Defense: Classical Variation, Seirawan Variation",1-0,Time forfeit,60+1,1836,,,,Bullet,Caro-Kann Defense,6878,101,1785.5
203,2252,A45,Rated Bullet tournament https://lichess.org/tournament/WlwPXAfI,Indian Game,1-0,Normal,60+0,2220,,,,Bullet,Indian Game,4090,-32,2236.0
231,1965,A10,Rated Bullet game,English Opening: Anglo-Scandinavian Defense,0-1,Time forfeit,60+0,1898,,,,Bullet,English Opening,7494,-67,1931.5
237,1683,C42,Rated Bullet game,"Russian Game: Classical Attack, Mason Variation",1-0,Normal,120+1,1806,,,,Bullet,Russian Game,2640,123,1744.5
244,2073,B00,Rated Bullet game,Owen Defense,1-0,Time forfeit,60+0,2068,,,,Bullet,Owen Defense,1829,-5,2070.5
247,1755,A00,Rated Bullet game,Van Geet Opening: Dunst-Perrenet Gambit,1-0,Normal,60+0,1732,,,,Bullet,Van Geet Opening,693,-23,1743.5
301,1798,B25,Rated Bullet game,"Sicilian Defense: Closed Variation, Traditional",0-1,Normal,60+0,1784,,,,Bullet,Sicilian Defense,27238,-14,1791.0
302,1715,B07,Rated Bullet game,Pirc Defense #4,0-1,Normal,60+0,1722,,,,Bullet,Pirc Defense,2814,7,1718.5
327,2157,C01,Rated Bullet game,"French Defense: Exchange Variation, Monte Carlo Variation",0-1,Normal,60+0,2175,,,,Bullet,French Defense,13036,18,2166.0
340,1968,A00,Rated Bullet game,Saragossa Opening,1-0,Time forfeit,60+0,1891,,,,Bullet,Saragossa Opening,513,-77,1929.5
489,2037,A36,Rated Bullet game,"English Opening: Symmetrical Variation, Fianchetto Variation",1-0,Normal,60+0,1946,,,,Bullet,English Opening,7494,-91,1991.5
556,1823,C02,Rated Bullet game,"French Defense: Advance Variation, Paulsen Attack",0-1,Time forfeit,120+1,1759,,,,Bullet,French Defense,13036,-64,1791.0
564,1951,C00,Rated Bullet tournament https://lichess.org/tournament/QLp882Pw,French Defense: Knight Variation,0-1,Time forfeit,60+0,2129,,,,Bullet,French Defense,13036,178,2040.0
582,2128,B07,Rated Bullet game,Pirc Defense #4,1-0,Time forfeit,30+0,1983,,,,Bullet,Pirc Defense,2814,-145,2055.5
600,1890,C21,Rated Bullet game,King's Pawn Game: Beyer Gambit,1-0,Normal,60+0,1935,,,,Bullet,King's Pawn Game,6903,45,1912.5
609,1934,B03,Rated Bullet game,Alekhine Defense: Exchange Variation,1-0,Normal,60+0,1833,,,,Bullet,Alekhine Defense,2101,-101,1883.5
612,1596,B00,Rated Bullet tournament https://lichess.org/tournament/izbUUDuO,Owen Defense,0-1,Normal,60+0,1859,,,,Bullet,Owen Defense,1829,263,1727.5
623,2011,A40,Rated Bullet game,"Englund Gambit Declined, Reversed Krebs",0-1,Normal,60+0,1901,,,,Bullet,Englund Gambit Declined,594,-110,1956.0
631,2224,A25,Rated Bullet tournament https://lichess.org/tournament/izbUUDuO,"English Opening: King's English Variation, Reversed Closed Sicilian",0-1,Normal,60+0,2031,,,,Bullet,English Opening,7494,-193,2127.5
645,2311,A45,Rated Bullet game,Indian Game: Omega Gambit,0-1,Normal,60+0,2200,,,,Bullet,Indian Game,4090,-111,2255.5
698,2087,A46,Rated Bullet game,Torre Attack,0-1,Normal,60+0,1935,,,,Bullet,Torre Attack,394,-152,2011.0
707,1904,D00,Rated UltraBullet tournament https://lichess.org/tournament/VOGK0mfP,Blackmar-Diemer Gambit,0-1,Time forfeit,15+0,1933,,,,Bullet,Blackmar-Diemer Gambit,631,29,1918.5
717,1849,B32,Rated Bullet game,Sicilian Defense: Loewenthal Variation,0-1,Normal,120+1,1732,,,,Bullet,Sicilian Defense,27238,-117,1790.5
746,1975,A01,Rated Bullet tournament https://lichess.org/tournament/mGqSUBt3,Nimzo-Larsen Attack,1/2-1/2,Normal,60+0,2200,,,,Bullet,Nimzo-Larsen Attack,2228,225,2087.5
761,2014,B00,Rated Bullet game,Owen Defense,1-0,Normal,60+0,1930,,,,Bullet,Owen Defense,1829,-84,1972.0
