,BlackElo,ECO,Event,Opening,Result,Termination,TimeControl,WhiteElo,BlackTitle,WhiteTitle,Move_ply_200,Category,Opening_new,freq,ELO Diff,Ave ELO
26,1007,C20,Rated Bullet game,"King's Pawn Game: Wayward Queen Attack, Kiddie Countergambit",1-0,Time forfeit,60+0,1012,,,,Bullet,King's Pawn Game,6903,5,1009.5
36,834,A40,Rated Bullet game,"Englund Gambit Declined, Reversed French",1-0,Time forfeit,60+0,1075,,,,Bullet,Englund Gambit Declined,594,241,954.5
48,1198,C00,Rated Bullet game,French Defense #2,0-1,Normal,60+0,1173,,,,Bullet,French Defense,13036,-25,1185.5
54,951,C20,Rated Bullet game,"King's Pawn Game: Wayward Queen Attack, Kiddie Countergambit",1-0,Time forfeit,60+0,996,,,,Bullet,King's Pawn Game,6903,45,973.5
60,1188,D00,Rated Bullet game,Queen's Pawn Game: Mason Attack,1-0,Time forfeit,120+1,1160,,,,Bullet,Queen's Pawn Game,13096,-28,1174.0
62,1176,A00,Rated Bullet game,Hungarian Opening,1-0,Time forfeit,60+0,1243,,,,Bullet,Hungarian Opening,2313,67,1209.5
90,1310,A00,Rated Bullet tournament https://lichess.org/tournament/mSp8G60b,Polish Opening,0-1,Time forfeit,60+0,1097,,,,Bullet,Polish Opening,733,-213,1203.5
99,1159,B20,Rated Bullet game,Sicilian Defense,1-0,Time forfeit,60+0,1096,,,,Bullet,Sicilian Defense,27238,-63,1127.5
100,1318,C48,Rated Bullet game,"Four Knights Game: Spanish Variation, Rubinstein Variation Accepted",0-1,Time forfeit,120+1,1250,,,,Bullet,Four Knights Game,3524,-68,1284.0
101,1159,C20,Rated Bullet game,King's Pawn Game: Wayward Queen Attack,0-1,Time forfeit,60+0,1137,,,,Bullet,King's Pawn Game,6903,-22,1148.0
121,1322,C25,Rated Bullet game,"Vienna Game: Vienna Gambit, Steinitz Gambit, Knight Variation",1-0,Time forfeit,60+0,1274,,,,Bullet,Vienna Game,1849,-48,1298.0
125,898,B02,Rated Bullet game,Alekhine Defense,1-0,Time forfeit,60+0,933,,,,Bullet,Alekhine Defense,2101,35,915.5
163,1004,C65,Rated Bullet game,Ruy Lopez: Berlin Defense #2,0-1,Normal,60+0,931,,,,Bullet,Ruy Lopez,6912,-73,967.5
164,1321,C00,Rated Bullet game,French Defense #2,0-1,Time forfeit,60+0,1190,,,,Bullet,French Defense,13036,-131,1255.5
183,1004,D01,Rated Bullet game,Queen's Pawn Game: Chigorin Variation,0-1,Normal,120+1,982,,,,Bullet,Queen's Pawn Game,13096,-22,993.0
188,1167,B01,Rated Bullet game,Scandinavian Defense: Mieses-Kotroc Variation,1-0,Normal,60+0,1162,,,,Bullet,Scandinavian Defense,7890,-5,1164.5
225,989,A20,Rated Bullet game,English Opening: King's English Variation,0-1,Time forfeit,60+0,891,,,,Bullet,English Opening,7494,-98,940.0
284,1058,D00,Rated Bullet game,Queen's Pawn Game #2,1-0,Time forfeit,60+0,1087,,,,Bullet,Queen's Pawn Game,13096,29,1072.5
305,1160,B53,Rated Bullet game,Sicilian Defense: Chekhover Variation,0-1,Normal,60+0,1208,,,,Bullet,Sicilian Defense,27238,48,1184.0
354,1064,A45,Rated Bullet game,Indian Game,0-1,Normal,120+1,1203,,,,Bullet,Indian Game,4090,139,1133.5
360,1214,C46,Rated Bullet game,Three Knights Opening,1-0,Normal,60+0,1230,,,,Bullet,Three Knights Opening,1268,16,1222.0
367,1195,A00,Rated Bullet game,Van't Kruijs Opening,0-1,Time forfeit,60+0,1093,,,,Bullet,Van't Kruijs Opening,2719,-102,1144.0
385,1084,B07,Rated Bullet game,King's Pawn Game: MarÃ³czy Defense,0-1,Time forfeit,60+0,813,,,,Bullet,King's Pawn Game,6903,-271,948.5
387,1141,B00,Rated Bullet game,Ware Defense,1-0,Normal,60+0,1006,,,,Bullet,Ware Defense,114,-135,1073.5
416,1088,B02,Rated Bullet game,Alekhine Defense,0-1,Normal,60+0,1113,,,,Bullet,Alekhine Defense,2101,25,1100.5
