,BlackElo,ECO,Event,Opening,Result,Termination,TimeControl,WhiteElo,BlackTitle,WhiteTitle,Move_ply_200,Category,Opening_new,freq,ELO Diff,Ave ELO
38,1518,C23,Rated Bullet tournament https://lichess.org/tournament/mSp8G60b,Bishop's Opening,1-0,Normal,60+0,1364,,,,Bullet,Bishop's Opening,2817,-154,1441.0
43,1253,A04,Rated Bullet tournament https://lichess.org/tournament/mSp8G60b,Zukertort Opening: Vos Gambit,1-0,Normal,60+0,1850,,,,Bullet,Zukertort Opening,3388,597,1551.5
59,1770,B13,Rated Bullet tournament https://lichess.org/tournament/mSp8G60b,Caro-Kann Defense: Exchange Variation,0-1,Time forfeit,60+0,1501,,,,Bullet,Caro-Kann Defense,6878,-269,1635.5
78,1449,A40,Rated Bullet game,Queen's Pawn,1-0,Normal,120+1,1321,,,,Bullet,Queen's Pawn Game,1407,-128,1385.0
83,1523,B20,Rated Bullet game,Sicilian Defense,1-0,Time forfeit,120+1,1522,,,,Bullet,Sicilian Defense,27238,-1,1522.5
94,1284,B02,Rated Bullet game,Alekhine Defense: MarÃ³czy Variation,1-0,Normal,60+0,1333,,,,Bullet,Alekhine Defense,2101,49,1308.5
107,1322,B23,Rated Bullet game,Sicilian Defense: Closed Variation,1-0,Time forfeit,60+0,1316,,,,Bullet,Sicilian Defense,27238,-6,1319.0
114,1453,D55,Rated Bullet game,"Queen's Gambit Declined: Modern Variation, Normal Line",0-1,Normal,120+1,1441,,,,Bullet,Queen's Gambit Declined,4145,-12,1447.0
118,1322,C00,Rated Bullet game,French Defense: Normal Variation,1-0,Normal,60+0,1356,,,,Bullet,French Defense,13036,34,1339.0
126,1469,A43,Rated Bullet game,Benoni Defense: Benoni Gambit Accepted,0-1,Time forfeit,60+0,1503,,,,Bullet,Benoni Defense,1124,34,1486.0
167,1409,C66,Rated Bullet game,"Ruy Lopez: Berlin Defense, Improved Steinitz Defense",1-0,Time forfeit,60+0,1409,,,,Bullet,Ruy Lopez,6912,0,1409.0
173,1698,D02,Rated Bullet game,Queen's Pawn Game: London System,1-0,Time forfeit,60+0,1646,,,,Bullet,Queen's Pawn Game,13096,-52,1672.0
184,1308,C42,Rated Bullet game,Russian Game: Three Knights Game,1-0,Time forfeit,60+0,1292,,,,Bullet,Russian Game,2640,-16,1300.0
185,1500,C67,Rated Bullet game,"Ruy Lopez: Berlin Defense, Rio Gambit Accepted",1-0,Normal,60+0,1500,,,,Bullet,Ruy Lopez,6912,0,1500.0
207,1339,B30,Rated Bullet game,Sicilian Defense: Old Sicilian,1-0,Time forfeit,60+0,1369,,,,Bullet,Sicilian Defense,27238,30,1354.0
215,1524,A00,Rated Bullet game,Grob Opening,1-0,Time forfeit,60+0,1500,,,,Bullet,Grob Opening,476,-24,1512.0
218,1631,A40,Rated Bullet game,Horwitz Defense,0-1,Time forfeit,60+0,1726,,,,Bullet,Horwitz Defense,2191,95,1678.5
266,1655,A00,Rated Bullet game,Hungarian Opening,1-0,Normal,120+1,1516,,,,Bullet,Hungarian Opening,2313,-139,1585.5
280,1492,B12,Rated Bullet game,Caro-Kann Defense,0-1,Time forfeit,60+0,1513,,,,Bullet,Caro-Kann Defense,6878,21,1502.5
281,1592,A40,Rated Bullet game,Modern Defense,1-0,Time forfeit,60+0,1549,,,,Bullet,Modern Defense,3666,-43,1570.5
285,1658,C23,Rated Bullet tournament https://lichess.org/tournament/m5CNdcpr,Bishop's Opening,0-1,Time forfeit,30+0,1509,,,,Bullet,Bishop's Opening,2817,-149,1583.5
293,1461,D20,Rated Bullet game,Queen's Gambit Accepted,0-1,Time forfeit,60+0,1448,,,,Bullet,Queen's Gambit Accepted,2590,-13,1454.5
297,1417,B01,Rated Bullet game,Scandinavian Defense: Mieses-Kotroc Variation,0-1,Normal,120+1,1378,,,,Bullet,Scandinavian Defense,7890,-39,1397.5
298,1303,B33,Rated Bullet game,Sicilian Defense: Open,0-1,Time forfeit,120+1,1405,,,,Bullet,Sicilian Defense,27238,102,1354.0
299,1355,D02,Rated Bullet game,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan",1-0,Normal,60+0,1339,,,,Bullet,Queen's Pawn Game,13096,-16,1347.0
300,1359,B40,Rated Bullet game,"Sicilian Defense: French Variation, Open",1-0,Normal,60+0,1373,,,,Bullet,Sicilian Defense,27238,14,1366.0
308,1380,C00,Rated Bullet game,French Defense #2,0-1,Normal,60+0,1357,,,,Bullet,French Defense,13036,-23,1368.5
314,1658,D00,Rated Bullet game,Queen's Pawn Game #2,0-1,Normal,60+0,1628,,,,Bullet,Queen's Pawn Game,13096,-30,1643.0
339,1244,D00,Rated Bullet tournament https://lichess.org/tournament/m5CNdcpr,Queen's Pawn Game #2,1-0,Time forfeit,30+0,1505,,,,Bullet,Queen's Pawn Game,13096,261,1374.5
343,1470,B30,Rated Bullet game,Sicilian Defense: Old Sicilian,1-0,Normal,60+0,1540,,,,Bullet,Sicilian Defense,27238,70,1505.0
348,1643,C02,Rated Bullet game,French Defense: Advance Variation #4,0-1,Normal,60+0,1582,,,,Bullet,French Defense,13036,-61,1612.5
372,1425,A43,Rated Bullet game,Benoni Defense: Benoni Gambit Accepted,1-0,Time forfeit,60+0,1521,,,,Bullet,Benoni Defense,1124,96,1473.0
383,1300,A02,Rated Bullet game,Bird Opening,0-1,Time forfeit,60+0,1315,,,,Bullet,Bird Opening,1581,15,1307.5
394,1374,A00,Rated Bullet game,Mieses Opening,0-1,Normal,60+0,1304,,,,Bullet,Mieses Opening,881,-70,1339.0
398,1532,B00,Rated Bullet game,Caro-Kann Defense: Hillbilly Attack,0-1,Time forfeit,120+1,1544,,,,Bullet,Caro-Kann Defense,6878,12,1538.0
405,1286,D00,Rated Bullet game,Queen's Pawn Game #2,1-0,Time forfeit,60+0,1336,,,,Bullet,Queen's Pawn Game,13096,50,1311.0
412,1427,A04,Rated Bullet game,Zukertort Opening: Nimzo-Larsen Variation,1-0,Time forfeit,60+0,1354,,,,Bullet,Zukertort Opening,3388,-73,1390.5
428,1511,A03,Rated Bullet game,Bird Opening: Dutch Variation,0-1,Time forfeit,60+0,1322,,,,Bullet,Bird Opening,1581,-189,1416.5
435,1401,D11,Rated Bullet game,Slav Defense: Quiet Variation,1-0,Normal,120+1,1403,,,,Bullet,Slav Defense,2437,2,1402.0
448,1420,A15,Rated Bullet game,"English Opening: Anglo-Indian Defense, King's Indian Formation",0-1,Normal,60+0,1442,,,,Bullet,English Opening,7494,22,1431.0
465,1614,B44,Rated Bullet game,Sicilian Defense: Paulsen Variation,1-0,Normal,120+1,1591,,,,Bullet,Sicilian Defense,27238,-23,1602.5
474,1452,C00,Rated Bullet game,French Defense: Chigorin Variation,1-0,Normal,60+0,1492,,,,Bullet,French Defense,13036,40,1472.0
475,1752,C00,Rated Bullet tournament https://lichess.org/tournament/wDoLoKTF,French Defense: Queen's Knight,0-1,Time forfeit,30+0,1591,,,,Bullet,French Defense,13036,-161,1671.5
492,1701,B07,Rated UltraBullet game,Pirc Defense #4,1-0,Time forfeit,15+0,1485,,,,Bullet,Pirc Defense,2814,-216,1593.0
506,1510,B20,Rated Bullet tournament https://lichess.org/tournament/lzWANwfE,Sicilian Defense: Bowdler Attack,1-0,Normal,60+0,1442,,,,Bullet,Sicilian Defense,27238,-68,1476.0
507,1311,A40,Rated Bullet tournament https://lichess.org/tournament/lzWANwfE,Englund Gambit,1-0,Time forfeit,60+0,1348,,,,Bullet,Englund Gambit,651,37,1329.5
520,1667,B03,Rated Bullet game,Alekhine Defense #2,1-0,Time forfeit,60+0,1578,,,,Bullet,Alekhine Defense,2101,-89,1622.5
530,1471,D31,Rated Bullet game,"Semi-Slav Defense: Marshall Gambit, Forgotten Variation",0-1,Normal,120+1,1429,,,,Bullet,Semi-Slav Defense,1054,-42,1450.0
